,x,y,descrip,grid
1,278264.07032098057,5718655.862182828,TL,42.0
2,279764.4973820388,5718542.339032497,TR,42.0
3,279650.9007047839,5717044.37099551,BR,42.0
4,278957.48551288224,5717850.116589169,MID,42.0
0,278264.07032098057,5718655.862182828,BL,43.0
1,278377.66699823545,5720153.830219813,TL,43.0
2,279878.0940592937,5720040.307069482,TR,43.0
3,279764.4973820388,5718542.339032497,BR,43.0
4,279071.0821901371,5719348.084626155,MID,43.0
0,278377.66699823545,5720153.830219813,BL,44.0
1,278491.26367549034,5721651.7982568,TL,44.0
2,279991.69073654857,5721538.275106469,TR,44.0
3,279878.0940592937,5720040.307069482,BR,44.0
4,279184.678867392,5720846.052663141,MID,44.0
0,278742.1272867448,5705060.626699623,BL,45.0
1,278855.7239639997,5706558.59473661,TL,45.0
2,280356.15102505794,5706445.071586279,TR,45.0
3,280242.55434780306,5704947.103549292,BR,45.0
4,279549.1391559014,5705752.849142951,MID,45.0
0,278855.7239639997,5706558.59473661,BL,46.0
1,278969.3206412546,5708056.562773595,TL,46.0
2,280469.74770231283,5707943.039623264,TR,46.0
3,280356.15102505794,5706445.071586279,BR,46.0
4,279662.7358331563,5707250.817179937,MID,46.0
0,278969.3206412546,5708056.562773595,BL,47.0
1,279082.9173185095,5709554.5308105815,TL,47.0
2,280583.3443795677,5709441.007660251,TR,47.0
3,280469.74770231283,5707943.039623264,BR,47.0
4,279776.33251041116,5708748.785216923,MID,47.0
0,279082.9173185095,5709554.5308105815,BL,48.0
1,279196.51399576437,5711052.498847567,TL,48.0
2,280696.9410568226,5710938.975697236,TR,48.0
3,280583.3443795677,5709441.007660251,BR,48.0
4,279889.92918766604,5710246.753253909,MID,48.0
0,279196.51399576437,5711052.498847567,BL,49.0
1,279310.11067301926,5712550.466884553,TL,49.0
2,280810.5377340775,5712436.943734223,TR,49.0
3,280696.9410568226,5710938.975697236,BR,49.0
4,280003.5258649209,5711744.721290895,MID,49.0
0,279310.11067301926,5712550.466884553,BL,50.0
1,279423.70735027414,5714048.434921538,TL,50.0
2,280924.1344113324,5713934.911771208,TR,50.0
3,280810.5377340775,5712436.943734223,BR,50.0
4,280117.1225421758,5713242.689327881,MID,50.0
0,279423.70735027414,5714048.434921538,BL,51.0
1,279537.304027529,5715546.402958525,TL,51.0
2,281037.73108858726,5715432.879808195,TR,51.0
3,280924.1344113324,5713934.911771208,BR,51.0
4,280230.7192194307,5714740.657364867,MID,51.0
0,279537.304027529,5715546.402958525,BL,52.0
1,279650.9007047839,5717044.37099551,TL,52.0
2,281151.32776584214,5716930.84784518,TR,52.0
3,281037.73108858726,5715432.879808195,BR,52.0
4,280344.3158966856,5716238.625401853,MID,52.0
0,279650.9007047839,5717044.37099551,BL,53.0
1,279764.4973820388,5718542.339032497,TL,53.0
2,281264.924443097,5718428.815882167,TR,53.0
3,281151.32776584214,5716930.84784518,BR,53.0
4,280457.91257394047,5717736.593438839,MID,53.0
0,279764.4973820388,5718542.339032497,BL,54.0
1,279878.0940592937,5720040.307069482,TL,54.0
2,281378.5211203519,5719926.783919152,TR,54.0
3,281264.924443097,5718428.815882167,BR,54.0
4,280571.50925119536,5719234.561475825,MID,54.0
0,279878.0940592937,5720040.307069482,BL,55.0
1,279991.69073654857,5721538.275106469,TL,55.0
2,281492.1177976068,5721424.751956139,TR,55.0
3,281378.5211203519,5719926.783919152,BR,55.0
4,280685.10592845024,5720732.5295128105,MID,55.0
0,280242.55434780306,5704947.103549292,BL,56.0
1,280356.15102505794,5706445.071586279,TL,56.0
2,281856.5780861162,5706331.548435949,TR,56.0
3,281742.9814088613,5704833.580398962,BR,56.0
4,281049.5662169596,5705639.325992621,MID,56.0
0,280356.15102505794,5706445.071586279,BL,57.0
1,280469.74770231283,5707943.039623264,TL,57.0
2,281970.17476337106,5707829.516472934,TR,57.0
3,281856.5780861162,5706331.548435949,BR,57.0
4,281163.1628942145,5707137.2940296065,MID,57.0
0,280469.74770231283,5707943.039623264,BL,58.0
1,280583.3443795677,5709441.007660251,TL,58.0
2,282083.77144062595,5709327.484509921,TR,58.0
3,281970.17476337106,5707829.516472934,BR,58.0
4,281276.7595714694,5708635.262066592,MID,58.0
0,280583.3443795677,5709441.007660251,BL,59.0
1,280696.9410568226,5710938.975697236,TL,59.0
2,282197.36811788083,5710825.452546906,TR,59.0
3,282083.77144062595,5709327.484509921,BR,59.0
4,281390.3562487243,5710133.230103578,MID,59.0
0,280696.9410568226,5710938.975697236,BL,60.0
1,280810.5377340775,5712436.943734223,TL,60.0
2,282310.9647951357,5712323.420583893,TR,60.0
3,282197.36811788083,5710825.452546906,BR,60.0
4,281503.95292597916,5711631.198140564,MID,60.0
0,280810.5377340775,5712436.943734223,BL,61.0
1,280924.1344113324,5713934.911771208,TL,61.0
2,282424.5614723906,5713821.388620878,TR,61.0
3,282310.9647951357,5712323.420583893,BR,61.0
4,281617.54960323405,5713129.16617755,MID,61.0
0,280924.1344113324,5713934.911771208,BL,62.0
1,281037.73108858726,5715432.879808195,TL,62.0
2,282538.1581496455,5715319.3566578645,TR,62.0
3,282424.5614723906,5713821.388620878,BR,62.0
4,281731.14628048893,5714627.134214536,MID,62.0
0,281037.73108858726,5715432.879808195,BL,63.0
1,281151.32776584214,5716930.84784518,TL,63.0
2,282651.7548269004,5716817.32469485,TR,63.0
3,282538.1581496455,5715319.3566578645,BR,63.0
4,281844.7429577438,5716125.102251522,MID,63.0
0,281151.32776584214,5716930.84784518,BL,64.0
1,281264.924443097,5718428.815882167,TL,64.0
2,282765.35150415526,5718315.292731836,TR,64.0
3,282651.7548269004,5716817.32469485,BR,64.0
4,281958.3396349987,5717623.070288508,MID,64.0
0,281264.924443097,5718428.815882167,BL,65.0
1,281378.5211203519,5719926.783919152,TL,65.0
2,282878.94818141015,5719813.260768821,TR,65.0
3,282765.35150415526,5718315.292731836,BR,65.0
4,282071.9363122536,5719121.038325494,MID,65.0
0,281378.5211203519,5719926.783919152,BL,66.0
1,281492.1177976068,5721424.751956139,TL,66.0
2,282992.54485866503,5721311.228805808,TR,66.0
3,282878.94818141015,5719813.260768821,BR,66.0
4,282185.5329895085,5720619.00636248,MID,66.0
0,281742.9814088613,5704833.580398962,BL,67.0
1,281856.5780861162,5706331.548435949,TL,67.0
2,283357.0051471744,5706218.025285618,TR,67.0
3,283243.4084699195,5704720.0572486315,BR,67.0
4,282549.99327801785,5705525.80284229,MID,67.0
0,281856.5780861162,5706331.548435949,BL,68.0
1,281970.17476337106,5707829.516472934,TL,68.0
2,283470.6018244293,5707715.993322603,TR,68.0
3,283357.0051471744,5706218.025285618,BR,68.0
4,282663.58995527274,5707023.770879276,MID,68.0
0,281970.17476337106,5707829.516472934,BL,69.0
1,282083.77144062595,5709327.484509921,TL,69.0
2,283584.1985016842,5709213.96135959,TR,69.0
3,283470.6018244293,5707715.993322603,BR,69.0
4,282777.1866325276,5708521.738916262,MID,69.0
0,282083.77144062595,5709327.484509921,BL,70.0
1,282197.36811788083,5710825.452546906,TL,70.0
2,283697.79517893906,5710711.929396575,TR,70.0
3,283584.1985016842,5709213.96135959,BR,70.0
4,282890.7833097825,5710019.706953248,MID,70.0
0,282197.36811788083,5710825.452546906,BL,71.0
1,282310.9647951357,5712323.420583893,TL,71.0
2,283811.39185619395,5712209.897433562,TR,71.0
3,283697.79517893906,5710711.929396575,BR,71.0
4,283004.3799870374,5711517.674990234,MID,71.0
0,282310.9647951357,5712323.420583893,BL,72.0
1,282424.5614723906,5713821.388620878,TL,72.0
2,283924.98853344884,5713707.865470547,TR,72.0
3,283811.39185619395,5712209.897433562,BR,72.0
4,283117.9766642923,5713015.64302722,MID,72.0
0,282424.5614723906,5713821.388620878,BL,73.0
1,282538.1581496455,5715319.3566578645,TL,73.0
2,284038.5852107037,5715205.833507534,TR,73.0
3,283924.98853344884,5713707.865470547,BR,73.0
4,283231.57334154716,5714513.611064206,MID,73.0
0,282538.1581496455,5715319.3566578645,BL,74.0
1,282651.7548269004,5716817.32469485,TL,74.0
2,284152.1818879586,5716703.801544519,TR,74.0
3,284038.5852107037,5715205.833507534,BR,74.0
4,283345.17001880205,5716011.579101192,MID,74.0
0,282651.7548269004,5716817.32469485,BL,75.0
1,282765.35150415526,5718315.292731836,TL,75.0
2,284265.7785652135,5718201.769581506,TR,75.0
3,284152.1818879586,5716703.801544519,BR,75.0
4,283458.76669605693,5717509.547138178,MID,75.0
0,282765.35150415526,5718315.292731836,BL,76.0
1,282878.94818141015,5719813.260768821,TL,76.0
2,284379.3752424684,5719699.737618491,TR,76.0
3,284265.7785652135,5718201.769581506,BR,76.0
4,283572.3633733118,5719007.515175164,MID,76.0
0,282878.94818141015,5719813.260768821,BL,77.0
1,282992.54485866503,5721311.228805808,TL,77.0
2,284492.97191972326,5721197.705655478,TR,77.0
3,284379.3752424684,5719699.737618491,BR,77.0
4,283685.9600505667,5720505.48321215,MID,77.0
0,283243.4084699195,5704720.0572486315,BL,78.0
1,283357.0051471744,5706218.025285618,TL,78.0
2,284857.43220823264,5706104.502135288,TR,78.0
3,284743.83553097775,5704606.534098301,BR,78.0
4,284050.4203390761,5705412.27969196,MID,78.0
0,283357.0051471744,5706218.025285618,BL,79.0
1,283470.6018244293,5707715.993322603,TL,79.0
2,284971.0288854875,5707602.470172273,TR,79.0
3,284857.43220823264,5706104.502135288,BR,79.0
4,284164.01701633097,5706910.247728946,MID,79.0
0,283470.6018244293,5707715.993322603,BL,80.0
1,283584.1985016842,5709213.96135959,TL,80.0
2,285084.6255627424,5709100.43820926,TR,80.0
3,284971.0288854875,5707602.470172273,BR,80.0
4,284277.61369358585,5708408.215765932,MID,80.0
0,283584.1985016842,5709213.96135959,BL,81.0
1,283697.79517893906,5710711.929396575,TL,81.0
2,285198.2222399973,5710598.406246245,TR,81.0
3,285084.6255627424,5709100.43820926,BR,81.0
4,284391.21037084074,5709906.183802918,MID,81.0
0,283697.79517893906,5710711.929396575,BL,82.0
1,283811.39185619395,5712209.897433562,TL,82.0
2,285311.8189172522,5712096.374283232,TR,82.0
